Sentence,Sentiment,entities
$GRPN might be selling off ahead of $P earnings...,negative,"[('GRPN', 'PERSON')]"
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",neutral,"[('monthly', 'DATE'), ('EUR 1,400', 'ORG'), ('Board', 'ORG')]"
Arm profits and sales up as shift away from mobile gains pace,positive,[]
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,"[('Tumkur', 'GPE'), ('Bangalore', 'GPE')]"
Cargo volume increased by approximately 5 % .,positive,"[('approximately 5 %', 'PERCENT')]"
$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,negative,"[('Russian', 'NORP'), ('Search Engine', 'ORG'), ('YNDX', 'PERSON')]"
$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,positive,"[('$AAPL Action', 'MONEY'), ('Momentum', 'PRODUCT')]"
"So far the company has awarded more than $ 350,000 worth of tools and materials .",neutral,"[('more than $ 350,000', 'MONEY')]"
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",negative,"[('the third quarter', 'DATE'), ('EUR1 .4 m from EUR1', 'QUANTITY'), ('2009', 'DATE')]"
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,negative,"[('$27 Million', 'MONEY'), ('U.K.', 'GPE')]"
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",negative,"[('Finnish', 'NORP'), ('Ixonos Oyj', 'PERSON'), ('369,000', 'CARDINAL'), ('575,000', 'MONEY'), ('the first quarter of 2008', 'DATE'), ('669,000 euro', 'MONEY'), ('$ 1.0 mln', 'MONEY'), ('the same period of 2007', 'DATE')]"
"The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 .",neutral,"[('8', 'CARDINAL'), ('October 2007', 'DATE')]"
The turbines are expected to be launched by the end of 2012 .,neutral,"[('the end of 2012', 'DATE')]"
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",neutral,"[('Finnish', 'NORP'), ('Okmetic Oyj HEL', 'ORG'), ('22', 'CARDINAL'), ('today', 'DATE')]"
Shell offers 50 percent premium to buy BG for $70 billion,positive,"[('Shell', 'ORG'), ('50 percent', 'PERCENT'), ('BG', 'ORG'), ('$70 billion', 'MONEY')]"
Lean System supports change management and component purchasing extremely well .,positive,"[('Lean System', 'ORG')]"
Incap Furniture is presently negotiating staff cuts .,negative,[]
"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,"[('New Haven Register', 'ORG')]"
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",negative,"[('a long time ago', 'DATE')]"
$NVDA sideways,neutral,"[('NVDA', 'PERSON')]"
Diageo Shares Surge on Report of Possible Takeover by Lemann,positive,"[('Diageo Shares Surge on Report of Possible Takeover', 'PERSON'), ('Lemann', 'PERSON')]"
`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,neutral,[]
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",neutral,"[('Nordea', 'ORG'), ('Sampo', 'PERSON'), ('Sampo', 'PERSON'), ('Nordea', 'ORG')]"
"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",neutral,"[('Helsinki', 'GPE'), ('Finland', 'GPE')]"
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral,"[('the start of September', 'DATE'), ('weekly', 'DATE'), ('40,000 tonnes', 'QUANTITY')]"
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,"[('Baltic', 'LOC'), ('Grimaldi Network', 'PERSON'), ('Mediterranean', 'LOC'), ('Africa', 'LOC'), ('North America', 'LOC'), ('Uwe Bakosch', 'PERSON')]"
"Key reasons to read this report : - Report contains only relevant information , leaving out excessive data .",neutral,[]
Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,positive,"[('Adobe Receives New Rating', 'ORG')]"
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",neutral,"[('Aspocomp', 'PRODUCT'), ('Meadville', 'GPE'), ('10', 'CARDINAL'), ('Oulu', 'GPE'), ('Finland', 'GPE')]"
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",neutral,"[(""Plyfa 's Hassela"", 'ORG'), ('Sweden', 'GPE')]"
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,"[('Diluted', 'ORG'), ('EPS', 'ORG'), ('EUR', 'ORG'), ('EUR', 'ORG'), ('0.42', 'CARDINAL')]"
$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,positive,"[('BUY', 'ORG'), ('86', 'CARDINAL'), ('incentive https://t.co/QuYSrqFo2x', 'PERSON')]"
The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .,positive,[]
Johnson Matthey raises prospect of investor payout,positive,"[('Johnson Matthey', 'PERSON')]"
"The chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer Precor to slash prices .",neutral,"[('Precor', 'GPE')]"
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral,"[('Aldata Solution', 'PERSON')]"
Also the development of online businesses will continue .,neutral,[]
"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland .",neutral,"[('Method and System', 'WORK_OF_ART'), ('Marko Ahvenainen Ruutana', 'PERSON'), ('Finland', 'GPE')]"
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,"[('RAO', 'ORG')]"
"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",positive,"[('the first nine months of 2010', 'DATE'), ('000', 'CARDINAL'), ('2009', 'DATE')]"
US dollar wipes out sales gains for SABMiller,negative,"[('US', 'GPE'), ('SABMiller', 'ORG')]"
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,"[('2 percent', 'PERCENT'), ('$ 743 million', 'MONEY'), ('x20ac 569 million', 'LAW')]"
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,"[('Seppala', 'PERSON'), ('0.2 %', 'PERCENT'), ('Finland', 'GPE'), ('2.4 %', 'PERCENT'), ('EUR6 .8 m', 'ORG'), ('6.2 %', 'PERCENT'), ('Baltic', 'LOC'), ('Russia', 'GPE'), ('Ukraine', 'GPE')]"
$WX Decent pull back . .,negative,"[('$WX Decent', 'MONEY')]"
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",neutral,"[('Nokia Siemens Networks', 'ORG'), ('UFA - FremantleMedia', 'ORG'), ('the end of May 2007', 'DATE')]"
$ENDP Was looking for a long entry but today's price action wasn't appealing,neutral,"[('ENDP', 'PERSON'), ('today', 'DATE')]"
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,positive,"[('MWW', 'ORG'), ('7.99', 'CARDINAL'), ('the day', 'DATE')]"
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,positive,"[('18.3 %', 'PERCENT'), ('15.4 %', 'PERCENT'), ('the third quarter of 2005', 'DATE')]"
"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements .",negative,"[('80', 'CARDINAL'), ('around half', 'CARDINAL')]"
$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,negative,"[('ACOM http://stks.co/1G6x', 'PERSON')]"
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,"[('Finnish', 'NORP'), ('Cargotec Oyj', 'PERSON'), ('HEL', 'ORG'), ('today', 'DATE'), ('MacGregor', 'ORG'), ('Norwegian', 'NORP'), ('Grieg Shipping', 'PERSON')]"
"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",negative,"[('78', 'CARDINAL'), ('Vetr', 'PERSON'), ('Tesla Motors', 'ORG'), ('2', 'CARDINAL'), ('TSLA', 'PERSON')]"
"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral,"[('70 million', 'CARDINAL'), ('90 million', 'CARDINAL'), ('two', 'CARDINAL'), ('2008', 'DATE')]"
"CapMan , the Stockholm-headquartered private equity firm , has held a first close on its second private equity real estate fund as it continues its push into the property sector .",neutral,"[('Stockholm', 'GPE'), ('second', 'ORDINAL')]"
The compnay also said that it would lower the price of development projects by about one third compared with last November .,neutral,"[('about one third', 'CARDINAL'), ('last November', 'DATE')]"
"The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 .",positive,"[('Nokian', 'NORP'), ('1.4', 'CARDINAL'), ('1.5', 'CARDINAL'), ('1.9', 'CARDINAL')]"
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,neutral,"[('Finnish', 'NORP'), ('Scanfil Oyj', 'PERSON'), ('Tuesday', 'DATE'), ('the first half of 2006', 'DATE'), ('15 %', 'PERCENT'), ('the same period a year ago', 'DATE')]"
High winds also toppled three semi-trailers on I-15 north of Barstow .,neutral,"[('three', 'CARDINAL'), ('I-15', 'PRODUCT'), ('Barstow', 'PERSON')]"
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,positive,"[('Ruukki', 'GPE'), ('Norwegian', 'NORP'), ('Veidekke Entreprenor AS', 'ORG')]"
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",neutral,"[('Konecranes', 'PERSON'), ('about 1,600', 'CARDINAL'), ('2009', 'DATE')]"
$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,positive,"[('GOOGL', 'PERSON'), ('50-day', 'DATE')]"
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,"[('two', 'CARDINAL')]"
Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,negative,"[('EUR', 'ORG'), ('61.3', 'CARDINAL'), ('EUR', 'ORG'), ('2007', 'DATE')]"
"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros .",neutral,"[('EBRD', 'ORG'), ('21.6 mln', 'MONEY'), ('10', 'CARDINAL'), ('Euros', 'PERSON'), ('two', 'CARDINAL'), ('Finnish', 'NORP'), ('Nordea Bank Finland Plc', 'ORG'), ('Euros', 'PERSON'), ('Pohjola Bank Plc', 'ORG'), ('Euros', 'PERSON')]"
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral,"[('Stonesoft', 'PERSON')]"
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,negative,"[('Pharmaceuticals group Orion Corp', 'ORG'), ('third-quarter', 'DATE')]"
5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,positive,"[('5', 'CARDINAL'), ('Pivotal Research', 'ORG'), ('GOOGL', 'PERSON'), ('BUY', 'ORG'), ('Brian', 'PERSON'), ('79%', 'PERCENT')]"
Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,negative,"[(""Hobby Hall 's"", 'PERSON'), ('26', 'CARDINAL')]"
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",neutral,"[('Last year', 'DATE'), ('8.3 million', 'CARDINAL'), ('4 percent', 'PERCENT'), ('2007', 'DATE')]"
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",neutral,"[('EUR', 'ORG'), ('3.2', 'CARDINAL'), ('EUR 7.2', 'PRODUCT'), ('the third quarter of 2008', 'DATE')]"
Subscription sales decreased slightly .,neutral,[]
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,"[('ADP News', 'ORG'), ('Finnish', 'NORP'), ('Rapala VMC Corp', 'ORG'), ('HEL', 'ORG'), ('today', 'DATE'), ('EUR 19.2 million', 'MONEY'), ('2008', 'DATE'), ('EUR 17.5 million', 'MONEY'), ('2007', 'DATE')]"
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,neutral,"[('Finnish', 'NORP'), ('Amer Sports', 'ORG'), ('370', 'CARDINAL'), ('Salomon', 'ORG'), ('France', 'GPE')]"
The original contract was signed last summer .,neutral,"[('last summer', 'DATE')]"
"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",neutral,"[('the first quarter of 2008', 'DATE'), ('Sacanfil', 'ORG'), ('EUR', 'ORG'), ('50.0', 'CARDINAL'), ('EUR', 'ORG'), ('4.7', 'CARDINAL')]"
$SPY c'mon bulls buy DIPS!,positive,"[('SPY', 'MONEY')]"
"S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",neutral,"[(""S Group 's"", 'ORG'), ('Yhteishyv+ñ', 'PERSON'), ('second', 'ORDINAL'), ('1,629,000', 'CARDINAL'), (""Sanoma Corporation 's"", 'ORG'), ('daily', 'DATE'), ('Helsingin Sanomat', 'FAC'), ('third', 'ORDINAL'), ('1,097,000', 'CARDINAL')]"
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive,"[('Kesko Agro Eesti', 'PERSON'), ('81 million', 'CARDINAL'), ('2007', 'DATE'), ('one-tenth', 'CARDINAL'), ('the preceding year', 'DATE')]"
"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .",neutral,"[('spring 2007', 'DATE'), ('spring 2008', 'DATE')]"
$FB & $TSLA cracking lower early. $short #correction #stocks,negative,"[('$short', 'MONEY'), ('#', 'CARDINAL')]"
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,"[('EUR', 'ORG'), ('24.5', 'CARDINAL'), ('EUR', 'ORG')]"
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,neutral,"[('28 %', 'PERCENT'), ('EUR 284mn', 'PERSON'), ('the end of September 2008', 'DATE')]"
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",neutral,"[('EUR 3.8', 'PRODUCT'), ('EUR 4.6', 'ORG'), ('the third quarter of 2007', 'DATE')]"
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,"[('Finnish', 'NORP'), ('Done Solutions Oyj', 'ORG'), ('3.5', 'CARDINAL'), ('$ 4.6 mln', 'MONEY'), ('2006', 'DATE'), ('2.3', 'CARDINAL'), ('$ 3.0 mln', 'MONEY'), ('2005', 'DATE')]"
"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",neutral,"[('Niina Nenonen', 'PERSON'), ('Marimekko', 'PERSON')]"
Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,neutral,"[('North America', 'LOC')]"
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,neutral,"[('Italy Global Research & Data Services', 'ORG'), ('Italy', 'GPE')]"
"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",neutral,"[('Huhtamaki', 'ORG'), ('Oyj', 'ORG'), ('Jukka Moisio', 'PERSON')]"
"Britain's FTSE steadies, supported by Dixons Carphone",positive,"[('Britain', 'GPE'), ('FTSE', 'ORG')]"
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",positive,"[('ADP News - Nov 13 , 2008 - Finnish', 'ORG'), ('PCB', 'ORG'), ('Group Oyj', 'PERSON'), ('ACG1V', 'PERSON'), ('today', 'DATE'), ('the first nine months of 2008', 'DATE')]"
Finnish media group Talentum has issued a profit warning .,negative,"[('Finnish', 'NORP'), ('Talentum', 'ORG')]"
"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",neutral,"[('Russian', 'NORP'), ('9 days', 'DATE'), ('Vostochny', 'ORG')]"
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",negative,"[('FTSE', 'ORG'), ('100', 'CARDINAL'), ('2.5', 'CARDINAL')]"
The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive,"[('Ramirent', 'ORG')]"
HK Ruokatalo 's target is to know the consumers .,neutral,"[(""HK Ruokatalo 's"", 'PERSON')]"
$SBUX getting sold here.,negative,"[('SBUX', 'PERSON')]"
Strategic and operational business information is objectively reported .,neutral,[]
With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .,positive,"[('Panostaja Oyj', 'PERSON')]"
"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",positive,"[('annual', 'DATE'), ('EUR3', 'NORP'), ('this year', 'DATE')]"
Net sales in 2006 totaled EUR 302 million and the operating margin was 16 % .,neutral,"[('2006', 'DATE'), ('EUR 302 million', 'MONEY'), ('16 %', 'PERCENT')]"
"However , the growth margin slowed down due to the financial crisis .",neutral,[]
"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",neutral,[]
"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",positive,"[('Benefon', 'PERSON'), ('2007', 'DATE'), ('Simon Button', 'PERSON')]"
Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,negative,"[('Kone', 'ORG'), ('Jan. 21', 'DATE'), ('Saltonstall', 'ORG'), ('Jan. 23', 'DATE')]"
The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,positive,"[('TCO', 'ORG')]"
Performance in the second half of 2009 exceeded expectations .,positive,"[('the second half of 2009', 'DATE')]"
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive,"[('15-minute', 'TIME'), ('$SPY $', 'MONEY'), ('SPX', 'MONEY'), ('a good day', 'DATE')]"
"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,"[('10,000-odd', 'CARDINAL'), ('Stockmann', 'ORG'), ('the Nevsky Center', 'FAC'), ('Nevsky Prospect', 'PERSON'), (""St Petersburg 's"", 'GPE'), ('Vosstaniya Square', 'FAC'), ('Moscow', 'GPE')]"
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,negative,"[('Amazon', 'ORG'), ('$AMZN #', 'MONEY'), ('Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy', 'ORG')]"
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,negative,"[('6 %', 'PERCENT'), ('EUR 11.9 million', 'MONEY')]"
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,neutral,"[('EUR5 .9', 'ORG'), ('09 3 August 2009 - Finnish', 'DATE'), ('Ilkka-Yhtyma Oyj', 'ORG'), ('HEL', 'ORG'), ('today', 'DATE'), ('45 %', 'PERCENT'), ('the year', 'DATE'), ('EUR5 .9 m', 'ORG'), ('the first half of 2009', 'DATE')]"
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,"[('TeliaSonera', 'ORG'), ('Altimo', 'PERSON'), ('VimpelCom', 'ORG'), ('Kyivstar', 'ORG')]"
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",negative,"[('Finnish', 'NORP'), ('Marimekko Oyj', 'PERSON'), ('7.99 mln euro', 'MONEY'), ('10.4', 'MONEY'), ('2006', 'DATE'), ('8.4 mln', 'QUANTITY'), ('10.9', 'MONEY'), ('2005', 'DATE')]"
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive,"[('January 11 , 2010', 'DATE'), ('EPHC board', 'ORG'), ('quarterly', 'DATE'), ('0.03', 'MONEY'), ('0.05', 'MONEY')]"
$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,negative,"[('IWM', 'ORG')]"
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",positive,"[('The second quarter of 2010', 'DATE'), ('the third quarter of2008', 'DATE'), ('Magnus Rosen', 'ORG')]"
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,"[('the third quarter of 2010', 'DATE'), ('5.2 %', 'PERCENT'), ('EUR 205.5', 'ORG'), ('34.9 %', 'PERCENT'), ('EUR', 'ORG'), ('23.5', 'CARDINAL')]"
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,neutral,"[('second-quarter', 'DATE'), ('the first quarter of 2009', 'DATE')]"
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",neutral,"[('the summer of 2010', 'DATE'), ('the summer of 2011', 'DATE')]"
L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,neutral,"[('L&T', 'ORG'), ('50', 'CARDINAL'), ('the beginning of September 2007', 'DATE')]"
bot $AMZN 600 weekly calls here @ 5.93,positive,"[('600', 'CARDINAL'), ('weekly', 'DATE'), ('5.93', 'CARDINAL')]"
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,"[('Vaisala', 'ORG'), ('the third quarter of 2007', 'DATE'), ('3.0 mln euro', 'QUANTITY'), ('$ 4.3 mln', 'MONEY'), ('6.8 mln euro', 'MONEY'), ('$ 9.8 mln', 'MONEY'), ('the same period of', 'DATE'), ('2006', 'DATE')]"
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",negative,"[('Finnish Suominen Corporation', 'ORG'), ('nonwovens', 'GPE'), ('Suominen', 'PERSON')]"
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",neutral,"[('Estonian', 'NORP'), ('Elcoteq', 'PERSON')]"
$BBRY Ready for Take OFF!,positive,[]
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",negative,"[('Nine', 'CARDINAL'), ('Barclays,', 'ORG'), ('Citi', 'GPE'), ('$2 billion', 'MONEY')]"
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",neutral,"[('Burrill Life Sciences Capital Fund', 'ORG'), ('L.P.', 'GPE'), ('below 5 per cent', 'MONEY')]"
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,negative,"[('Diluted', 'ORG'), ('EPS', 'ORG'), ('EUR 0.78', 'ORG'), ('EUR 1.76', 'ORG')]"
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,"[('May 2 , 2006', 'DATE'), ('EUR 10.22', 'ORG')]"
"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",neutral,"[('Savcor Group Ltd', 'ORG'), ('Savcor ART', 'PRODUCT'), ('Cencorp Corporation', 'ORG')]"
Amazon's grocery deal with Morrisons is only the beginning,positive,"[('Amazon', 'ORG'), ('Morrisons', 'PERSON')]"
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,"[('Finnish FIM Bank', 'ORG'), ('Alpro', 'PERSON'), ('EUR 100mn-150mn', 'ORG')]"
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,negative,"[('EUR', 'ORG'), ('220.5', 'CARDINAL'), ('EUR', 'ORG'), ('470.0', 'PRODUCT'), ('2009', 'DATE')]"
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,positive,"[('FDA Approves Generic Version', 'ORG')]"
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral,"[('Finnish', 'NORP')]"
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,"[('14.41 million', 'CARDINAL'), ('January', 'DATE'), ('0.8 percent', 'PERCENT'), ('the year-earlier', 'DATE'), (""the Lithuanian Brewers ' Association"", 'ORG')]"
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",positive,"[('the past nine months', 'DATE'), ('Finnair', 'ORG')]"
$IACI http://stks.co/tJU Looks good on the weekly chart.,positive,"[('IACI http://stks.co/tJU', 'PERSON'), ('weekly', 'DATE')]"
Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,positive,"[('Jan Kaarstroem', 'PERSON'), ('TT', 'GPE')]"
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive,"[('Finnish', 'NORP'), ('Panostaja Oyj', 'ORG'), ('up to', 'CARDINAL'), ('8.6 mln', 'QUANTITY'), ('$ 11.4 mln', 'MONEY'), ('fiscal 2005-06', 'DATE'), ('October 31 , 2006', 'DATE'), ('2.8 mln', 'MONEY'), ('3.7', 'MONEY'), ('fiscal 2004-05', 'DATE')]"
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive,"[('AstraZeneca', 'ORG'), ('US', 'GPE')]"
